region,domain_id,domain,CORDEX_domain,n_longitude,n_latitude,lower_left_longitude,lower_left_latitude,grid_spacing_longitude,grid_spacing_latitude,grid_north_pole_longitude,grid_north_pole_latitude
5,AFR-12,Africa,AFR-11,776,804,-24.805,-45.925,0.11,0.11,180.0,90.0
5,AFR-25,Africa,AFR-22,388,402,-24.75,-45.87,0.22,0.22,180.0,90.0
5,AFR-50,Africa,AFR-44,194,201,-24.64,-45.76,0.44,0.44,180.0,90.0
5,AFR-50i,Africa,AFR-44i,173,179,-25.25,-46.25,0.5,0.5,,
10,ANT-12,Antarctica,,660,531,144.0,-28.0,0.1,0.1,20.0,5.0
10,ANT-50i,Antarctica,ANT-44i,720,70,-179.75,-89.75,0.5,0.5,,
11,ARC-12,Arctic,,577,582,-29.9,-24.2,0.1,0.1,0.0,6.55
11,ARC-50i,Arctic,ARC-44i,720,83,-179.75,48.75,0.5,0.5,,
9,AUS-12,Australasia,AUS-11,800,516,141.995,-23.045,0.11,0.11,141.38,60.31
9,AUS-25,Australasia,AUS-22,400,258,142.05,-22.99,0.22,0.22,141.38,60.31
9,AUS-50,Australasia,AUS-44,200,129,142.16,-22.88,0.44,0.44,141.38,60.31
9,AUS-50i,Australasia,AUS-44i,238,133,88.75,-53.25,0.5,0.5,,
2,CAM-12,Central America,CAM-11,840,452,-52.965,-28.765,0.11,0.11,113.98,75.74
2,CAM-25,Central America,CAM-22,420,226,-52.91,-28.71,0.22,0.22,113.98,75.74
2,CAM-50,Central America,CAM-44,210,113,-52.8,-28.6,0.44,0.44,113.98,75.74
2,CAM-50i,Central America,CAM-44i,207,111,-124.75,-19.75,0.5,0.5,,
8,CAS-12,Central Asia,CAS-11,612,400,-34.485,-20.845,0.11,0.11,-103.39,43.48
8,CAS-25,Central Asia,CAS-22,306,200,-34.43,-20.79,0.22,0.22,-103.39,43.48
8,CAS-50,Central Asia,CAS-44,153,100,-34.32,-20.68,0.44,0.44,-103.39,43.48
8,CAS-50i,Central Asia,CAS-44i,260,133,10.75,17.75,0.5,0.5,,
7,EAS-12,East Asia,EAS-11,812,668,-41.085,-27.005,0.11,0.11,-64.78,77.61
7,EAS-25,East Asia,EAS-22,396,251,-43.23,-22.1,0.22,0.22,-64.78,77.61
7,EAS-50,East Asia,EAS-44,203,167,-40.92,-26.84,0.44,0.44,-64.78,77.61
7,EAS-50i,East Asia,EAS-44i,227,157,62.75,-18.75,0.5,0.5,,
4,EUR-12,Europe,EUR-11,424,412,-28.375,-23.375,0.11,0.11,-162.0,39.25
4,EUR-12i,Europe,EUR-11i,881,408,-44.8125,21.8125,0.125,0.125,,
4,EUR-25,Europe,EUR-22,212,206,-28.32,-23.32,0.22,0.22,-162.0,39.25
4,EUR-50,Europe,EUR-44,106,103,-28.21,-23.21,0.44,0.44,-162.0,39.25
4,EUR-50i,Europe,EUR-44i,221,103,-44.75,21.75,0.5,0.5,,
12,MED-12,Mediterranean,MED-11,392,252,-23.385,-21.505,0.11,0.11,198.0,39.25
12,MED-50,Mediterranean,MED-44,98,63,-23.22,-21.34,0.44,0.44,198.0,39.25
12,MED-50i,Mediterranean,MED-44i,144,65,-20.75,25.25,0.5,0.5,,
13,MNA-12,Middle East and North Africa,MNA-11,928,472,-26.565,-6.765,0.11,0.11,180.0,90.0
13,MNA-25,Middle East and North Africa,MNA-22,464,236,-26.51,-6.71,0.22,0.22,180.0,90.0
13,MNA-25i,Middle East and North Africa,MNA-22i,410,209,-26.625,-6.875,0.25,0.25,,
13,MNA-50,Middle East and North Africa,MNA-44,232,118,-26.4,-6.6,0.44,0.44,180.0,90.0
13,MNA-50i,Middle East and North Africa,MNA-44i,206,106,-26.75,-7.25,0.5,0.5,,
3,NAM-12,North America,NAM-11,620,520,-34.045,-28.565,0.11,0.11,83.0,42.5
3,NAM-25,North America,NAM-22,310,260,-33.99,-28.51,0.22,0.22,83.0,42.5
3,NAM-50,North America,NAM-44,155,130,-33.88,-28.4,0.44,0.44,83.0,42.5
3,NAM-50i,North America,NAM-44i,300,129,-171.75,12.25,0.5,0.5,,
1,SAM-12,South America,SAM-11,584,668,143.755,-38.445,0.11,0.11,-56.06,70.6
1,SAM-25,South America,SAM-22,292,334,143.81,-38.39,0.22,0.22,-56.06,70.6
1,SAM-50,South America,SAM-44,146,167,143.92,-38.28,0.44,0.44,-56.06,70.6
1,SAM-50i,South America,SAM-44i,181,155,-106.25,-58.25,0.5,0.5,,
14,SEA-12,South East Asia,SEA-11,528,388,89.205,-15.235,0.11,0.11,180.0,90.0
14,SEA-25,South East Asia,SEA-22,264,194,89.26,-15.18,0.22,0.22,180.0,90.0
14,SEA-25i,South East Asia,SEA-22i,233,172,89.125,-15.375,0.25,0.25,,
6,WAS-12,South Asia,WAS-11,772,520,-32.285,-21.725,0.11,0.11,-123.34,79.95
6,WAS-25,South Asia,WAS-22,386,260,-32.23,-21.67,0.22,0.22,-123.34,79.95
6,WAS-50,South Asia,WAS-44,193,130,-32.12,-21.56,0.44,0.44,-123.34,79.95
6,WAS-50i,South Asia,WAS-44i,195,124,19.25,-15.75,0.5,0.5,,
